Age,Date,DHB,Ethnicity,RateRatio
30 to 49,2021-08-03,Lakes,Māori,0.5929855984719109
30 to 49,2021-08-03,Lakes,Pacific Peoples,1.239392112728644
30 to 49,2021-08-03,MidCentral,Māori,0.705366138634733
30 to 49,2021-08-03,MidCentral,Pacific Peoples,1.0857638583394251
30 to 49,2021-08-03,Nelson Marlborough,Māori,0.8653461755475421
30 to 49,2021-08-03,Nelson Marlborough,Pacific Peoples,4.87829855471784
30 to 49,2021-08-03,Northland,Māori,0.6442712870331221
30 to 49,2021-08-03,Northland,Pacific Peoples,0.9011783984282375
30 to 49,2021-08-03,South Canterbury,Māori,0.8975226300328435
30 to 49,2021-08-03,South Canterbury,Pacific Peoples,1.0671985336489156
30 to 49,2021-08-03,Southern,Māori,0.9459896558339926
30 to 49,2021-08-03,Southern,Pacific Peoples,1.5488484143506231
30 to 49,2021-08-03,Tairawhiti,Māori,0.7931267352352911
30 to 49,2021-08-03,Tairawhiti,Pacific Peoples,1.3855848591887547
30 to 49,2021-08-03,Taranaki,Māori,0.6811895850837216
30 to 49,2021-08-03,Taranaki,Pacific Peoples,2.206524794037758
30 to 49,2021-08-03,Waikato,Māori,0.6784374766349397
30 to 49,2021-08-03,Waikato,Pacific Peoples,1.2600783139981708
30 to 49,2021-08-03,Wairarapa,Māori,0.8550509663418676
30 to 49,2021-08-03,Wairarapa,Pacific Peoples,2.9747512266703353
30 to 49,2021-08-03,West Coast,Māori,0.6476142131979695
30 to 49,2021-08-03,West Coast,Pacific Peoples,1.3788048315321042
30 to 49,2021-08-03,Whanganui,Māori,0.6335183179618958
30 to 49,2021-08-03,Whanganui,Pacific Peoples,0.91748981161161125
30 to 49,2021-08-10,Auckland Metro,Māori,0.6727734795719639
30 to 49,2021-08-10,Auckland Metro,Pacific Peoples,0.9415917284040627
30 to 49,2021-08-10,Bay of Plenty,Māori,0.7537151431179189
30 to 49,2021-08-10,Bay of Plenty,Pacific Peoples,2.380999242630085
30 to 49,2021-08-10,Canterbury,Māori,0.8477660868722979
30 to 49,2021-08-10,Canterbury,Pacific Peoples,1.3393760277789095
30 to 49,2021-08-10,Wellington Metro,Māori,0.8759466249153042
30 to 49,2021-08-10,Wellington Metro,Pacific Peoples,1.2066039473664705
30 to 49,2021-08-10,Hawkes Bay,Māori,0.760407504667032
30 to 49,2021-08-10,Hawkes Bay,Pacific Peoples,3.2227561729491123
30 to 49,2021-08-10,Lakes,Māori,0.6019363282738741
30 to 49,2021-08-10,Lakes,Pacific Peoples,1.2377555004780534
30 to 49,2021-08-10,MidCentral,Māori,0.6899276512248915
30 to 49,2021-08-10,MidCentral,Pacific Peoples,1.034278219927743
30 to 49,2021-08-10,Nelson Marlborough,Māori,0.8702686213908611
30 to 49,2021-08-10,Nelson Marlborough,Pacific Peoples,4.874106914745278
30 to 49,2021-08-10,Northland,Māori,0.6513122385276762
30 to 49,2021-08-10,Northland,Pacific Peoples,0.9415626168507645
30 to 49,2021-08-10,South Canterbury,Māori,0.9227750490545286
30 to 49,2021-08-10,South Canterbury,Pacific Peoples,1.0856538989209834
30 to 49,2021-08-10,Southern,Māori,0.9736465950429671
30 to 49,2021-08-10,Southern,Pacific Peoples,1.6632083220816603
30 to 49,2021-08-10,Tairawhiti,Māori,0.751516419729706
30 to 49,2021-08-10,Tairawhiti,Pacific Peoples,1.251298875371791
30 to 49,2021-08-10,Taranaki,Māori,0.6813279876163487
30 to 49,2021-08-10,Taranaki,Pacific Peoples,1.9519796223937513
30 to 49,2021-08-10,Waikato,Māori,0.668431703361971
30 to 49,2021-08-10,Waikato,Pacific Peoples,1.200580014308258
30 to 49,2021-08-10,Wairarapa,Māori,0.8522572303119612
30 to 49,2021-08-10,Wairarapa,Pacific Peoples,2.689922661381213
30 to 49,2021-08-10,West Coast,Māori,0.6416559791062685
30 to 49,2021-08-10,West Coast,Pacific Peoples,1.4923993846981687
30 to 49,2021-08-10,Whanganui,Māori,0.6241126265535054
30 to 49,2021-08-10,Whanganui,Pacific Peoples,0.8879429270914968
30 to 49,2021-08-17,Auckland Metro,Māori,0.6985735924889962
30 to 49,2021-08-17,Auckland Metro,Pacific Peoples,0.9443510566771113
30 to 49,2021-08-17,Bay of Plenty,Māori,0.7471343803638268
30 to 49,2021-08-17,Bay of Plenty,Pacific Peoples,2.7296710414489582
30 to 49,2021-08-17,Canterbury,Māori,0.8850244821663475
30 to 49,2021-08-17,Canterbury,Pacific Peoples,1.362331968803506
30 to 49,2021-08-17,Wellington Metro,Māori,0.8569851495743226
30 to 49,2021-08-17,Wellington Metro,Pacific Peoples,1.155219409734433
30 to 49,2021-08-17,Hawkes Bay,Māori,0.7708758661175894
30 to 49,2021-08-17,Hawkes Bay,Pacific Peoples,2.9785259013697702
30 to 49,2021-08-17,Lakes,Māori,0.6066911727930958
30 to 49,2021-08-17,Lakes,Pacific Peoples,1.2075917179186746
30 to 49,2021-08-17,MidCentral,Māori,0.6792134204783509
30 to 49,2021-08-17,MidCentral,Pacific Peoples,0.9797215995121904
30 to 49,2021-08-17,Nelson Marlborough,Māori,0.7710968029635077
30 to 49,2021-08-17,Nelson Marlborough,Pacific Peoples,4.3578509650068495
30 to 49,2021-08-17,Northland,Māori,0.6324292503301004
30 to 49,2021-08-17,Northland,Pacific Peoples,0.961828838009038
30 to 49,2021-08-17,South Canterbury,Māori,0.9528680149828705
30 to 49,2021-08-17,South Canterbury,Pacific Peoples,1.1408734342710134
30 to 49,2021-08-17,Southern,Māori,0.9519463137685285
30 to 49,2021-08-17,Southern,Pacific Peoples,1.5578736875662191
30 to 49,2021-08-17,Tairawhiti,Māori,0.7291523429288546
30 to 49,2021-08-17,Tairawhiti,Pacific Peoples,1.133803211915672
30 to 49,2021-08-17,Taranaki,Māori,0.6943893832679628
30 to 49,2021-08-17,Taranaki,Pacific Peoples,1.9023224805707397
30 to 49,2021-08-17,Waikato,Māori,0.6409811982875466
30 to 49,2021-08-17,Waikato,Pacific Peoples,1.1516986236588447
30 to 49,2021-08-17,Wairarapa,Māori,0.8049291218515764
30 to 49,2021-08-17,Wairarapa,Pacific Peoples,2.167598448049369
30 to 49,2021-08-17,West Coast,Māori,0.6410448281818906
30 to 49,2021-08-17,West Coast,Pacific Peoples,1.4145807191380726
30 to 49,2021-08-17,Whanganui,Māori,0.6487031404591483
30 to 49,2021-08-17,Whanganui,Pacific Peoples,0.909035008076122
30 to 49,2021-08-24,Auckland Metro,Māori,0.7120609455697839
30 to 49,2021-08-24,Auckland Metro,Pacific Peoples,0.9551151147959541
30 to 49,2021-08-24,Bay of Plenty,Māori,0.7335151583073019
30 to 49,2021-08-24,Bay of Plenty,Pacific Peoples,2.6693952922568815
30 to 49,2021-08-24,Canterbury,Māori,0.8748550511850524
30 to 49,2021-08-24,Canterbury,Pacific Peoples,1.3506889126334598
30 to 49,2021-08-24,Wellington Metro,Māori,0.8293050462890704
30 to 49,2021-08-24,Wellington Metro,Pacific Peoples,1.0630690240621998
