DHB,Age,Ethnicity,Method,Population
Whanganui,60-64,Maori,HSU,743
Whanganui,60-64,Maori,StatsNZ,810
Whanganui,60-64,Pacific Peoples,HSU,63
Whanganui,60-64,Pacific Peoples,StatsNZ,80
Whanganui,65-69,Asian,HSU,53
Whanganui,65-69,Asian,StatsNZ,70
Whanganui,65-69,European or Other,HSU,3426
Whanganui,65-69,European or Other,StatsNZ,3520
Whanganui,65-69,Maori,HSU,613
Whanganui,65-69,Maori,StatsNZ,640
Whanganui,65-69,Pacific Peoples,HSU,48
Whanganui,65-69,Pacific Peoples,StatsNZ,50
Whanganui,70-74,Asian,HSU,37
Whanganui,70-74,Asian,StatsNZ,50
Whanganui,70-74,European or Other,HSU,3180
Whanganui,70-74,European or Other,StatsNZ,3260
Whanganui,70-74,Maori,HSU,414
Whanganui,70-74,Maori,StatsNZ,470
Whanganui,70-74,Pacific Peoples,HSU,30
Whanganui,70-74,Pacific Peoples,StatsNZ,40
Whanganui,75-79,Asian,HSU,27
Whanganui,75-79,Asian,StatsNZ,40
Whanganui,75-79,European or Other,HSU,2196
Whanganui,75-79,European or Other,StatsNZ,2290
Whanganui,75-79,Maori,HSU,215
Whanganui,75-79,Maori,StatsNZ,250
Whanganui,75-79,Pacific Peoples,HSU,11
Whanganui,75-79,Pacific Peoples,StatsNZ,20
Whanganui,80-84,Asian,HSU,17
Whanganui,80-84,Asian,StatsNZ,20
Whanganui,80-84,European or Other,HSU,1577
Whanganui,80-84,European or Other,StatsNZ,1640
Whanganui,80-84,Maori,HSU,134
Whanganui,80-84,Maori,StatsNZ,140
Whanganui,85-89,European or Other,HSU,880
Whanganui,85-89,European or Other,StatsNZ,870
Whanganui,85-89,Maori,HSU,56
Whanganui,85-89,Maori,StatsNZ,60
Whanganui,90+,European or Other,HSU,535
Whanganui,90+,European or Other,StatsNZ,540
Whanganui,90+,Maori,HSU,17
Whanganui,90+,Maori,StatsNZ,20
